Dataset 08 full benchmark
==========================
Frames: 271
Total time: 5.878 s
Average processing: 21.688 ms/frame
Measured processing rate: 46.11 FPS
Frame time range: 17.108-35.322 ms
Total points: 34,069,557
Points/frame: 121,965-127,321, average 125,717.9
Total cells: 13,923,793
Cells/frame: 38,258-61,521, average 51,379.3
Average reduction: 59.13%
Reduction range: 50.87-69.88%
Peak working memory: 1,179.82 MB
Peak private/pagefile memory: 1,651.96 MB
Predictions loaded: 271/271

Per-frame timings
-----------------
frame,time_ms,points,cells,reduction_percent
000,24.621,124231,56795,54.28
001,21.489,124087,56888,54.15
002,20.363,123861,56771,54.17
003,23.331,123679,56627,54.21
004,24.917,123431,56725,54.04
005,21.926,123298,56609,54.09
006,21.098,123229,56187,54.40
007,24.828,122881,56413,54.09
008,24.419,122870,56383,54.11
009,23.874,122909,56407,54.11
010,23.651,122975,55987,54.47
011,25.924,123132,56249,54.32
012,29.287,123005,56576,54.01
013,22.055,122993,56971,53.68
014,24.422,122925,56871,53.74
015,24.457,122915,56952,53.67
016,24.191,122944,57034,53.61
017,22.179,122903,56786,53.80
018,22.192,122812,55979,54.42
019,22.735,122857,55288,55.00
020,25.723,122796,54438,55.67
021,20.463,122812,53455,56.47
022,21.627,122967,52363,57.42
023,22.219,122994,52029,57.70
024,20.820,123190,52130,57.68
025,21.142,123111,52116,57.67
026,21.293,123190,51986,57.80
027,22.085,123439,52043,57.84
028,22.417,123276,51627,58.12
029,19.987,123419,50991,58.68
030,21.564,123647,51484,58.36
031,23.783,123868,52243,57.82
032,24.198,123846,52808,57.36
033,23.758,124176,53937,56.56
034,23.731,124153,54535,56.07
035,24.459,124242,54847,55.85
036,27.563,124382,54617,56.09
037,25.108,124556,54110,56.56
038,22.124,124774,53576,57.06
039,23.601,124942,52534,57.95
040,22.757,124853,51829,58.49
041,21.567,125137,51299,59.01
042,21.102,125226,51436,58.93
043,21.740,125281,51554,58.85
044,23.000,125306,51537,58.87
045,21.369,125328,51012,59.30
046,24.009,125326,51264,59.10
047,21.622,125369,50920,59.38
048,24.197,125490,50388,59.85
049,21.366,125541,49813,60.32
050,23.362,125512,49349,60.68
051,22.433,125489,48540,61.32
052,23.345,125789,48126,61.74
053,20.619,125933,47705,62.12
054,18.861,125922,47786,62.05
055,21.083,125864,47944,61.91
056,23.222,125822,47847,61.97
057,21.812,125934,47909,61.96
058,20.844,125858,47307,62.41
059,19.573,125947,46735,62.89
060,23.709,126000,46307,63.25
061,28.614,125983,46137,63.38
062,20.628,126144,46468,63.16
063,24.071,126165,46373,63.24
064,23.177,126102,46354,63.24
065,23.624,126188,46531,63.13
066,25.565,126200,46439,63.20
067,26.217,126215,46669,63.02
068,24.636,126207,47354,62.48
069,23.709,126194,47568,62.31
070,29.119,126236,47749,62.17
071,21.677,126238,48270,61.76
072,20.001,126285,48963,61.23
073,21.438,126320,49918,60.48
074,21.905,126258,51033,59.58
075,23.224,126262,51701,59.05
076,22.057,126125,52487,58.38
077,20.825,126102,52863,58.08
078,21.370,126128,53186,57.83
079,24.109,126292,53362,57.75
080,23.060,126255,53118,57.93
081,20.918,126280,53023,58.01
082,20.696,126269,52979,58.04
083,20.944,126250,52953,58.06
084,21.632,126399,53398,57.75
085,18.550,126341,53632,57.55
