Sequence 08 pipeline-to-frontend latency report
================================================

Scope
-----
The current Streamlit frontend reads saved uncertainty-aware .npz snapshots; it does not run inference or replay fusion during navigation.
Pipeline timings below replay the raw scan/prediction -> grid -> fusion -> rating -> snapshot path without changing saved outputs.
Frontend timings below measure snapshot loading, dataframe preparation, and the Matplotlib overview API used by the dashboard.

Pipeline timing per frame (271 frames)
-------------------------------------
Pipeline total: 525.958 s
Pipeline average end-to-end: 1940.804 ms/frame
scan_load: min 1.582 ms, average 22.114 ms, max 222.480 ms, total 5.993 s
prediction_load: min 0.991 ms, average 1.856 ms, max 4.678 ms, total 0.503 s
uncertainty_load: min 0.938 ms, average 1.670 ms, max 4.033 ms, total 0.453 s
preprocess: min 1.428 ms, average 2.874 ms, max 9.369 ms, total 0.779 s
grid_build: min 16.349 ms, average 33.415 ms, max 82.479 ms, total 9.055 s
fusion: min 37.060 ms, average 426.329 ms, max 891.433 ms, total 115.535 s
rating: min 196.791 ms, average 397.544 ms, max 760.740 ms, total 107.734 s
snapshot_serialization: min 193.499 ms, average 1053.064 ms, max 1949.707 ms, total 285.380 s

Frontend timing per frame (271 frames)
--------------------------------------
snapshot_load: min 37.904 ms, average 97.140 ms, max 210.025 ms, total 26.325 s
dataframe_prepare: min 7.434 ms, average 11.746 ms, max 36.892 ms, total 3.183 s
overview_render: min 90.814 ms, average 126.755 ms, max 357.683 ms, total 34.351 s
Measured frontend backend work: average 235.641 ms/frame, max 480.837 ms/frame
Current Python process working set after measurement: 0.00 MB

Live browser playback observation
---------------------------------
Target playback rate: 4 FPS
Observation window: 10.0 s
Browser samples: 89
Samples where sidebar frame differed from overview image: 11
Matched sidebar/image samples: 78
Observed average sidebar-to-image lag: 0.124 frame
Maximum observed sidebar-to-image lag: 1 frame
Unique overview frames actually displayed: 16
Observed displayed rate: 1.60 FPS
Expected frame opportunities at 4 FPS over 10 s: 40
Displayed frame opportunities observed: 16
Observed display shortfall versus target opportunities: 24 frames (60.0%)
Interpretation: the Streamlit rerun/render path is slower than the requested playback cadence. The sampled run showed stale images and delayed display, but no skipped frame-number jumps greater than one; the frontend advanced one frame per tick and accumulated latency.
Additional browser observation: repeated /media/*.jpg 404 errors were reported while the page was active.

Per-frame stage timings
-----------------------
frame,pipeline_ms,frontend_snapshot_ms,frontend_prepare_ms,frontend_overview_ms,frontend_total_ms
000,677.407,37.904,10.054,129.898,177.856
001,847.083,57.254,13.541,99.795,170.590
002,1008.744,60.775,13.329,103.370,177.474
003,1086.009,60.754,16.650,109.916,187.321
004,1268.199,73.931,15.864,103.272,193.068
005,1286.085,75.351,10.654,107.872,193.877
006,1397.928,73.556,11.828,98.813,184.196
007,1403.471,87.550,14.336,96.484,198.371
008,1420.203,75.345,10.217,116.462,202.024
009,1536.334,87.021,11.103,151.484,249.608
010,1588.147,93.565,10.818,136.117,240.500
011,1600.073,97.078,16.053,111.999,225.130
012,1584.639,93.467,12.205,146.599,252.271
013,1653.464,99.983,10.128,135.016,245.127
014,1701.345,102.383,11.025,161.867,275.274
015,1649.348,100.418,11.892,162.121,274.430
016,1649.574,133.280,11.148,128.720,273.149
017,1734.159,95.828,10.437,105.412,211.676
018,1621.174,101.223,11.213,105.453,217.888
019,1626.545,107.707,11.173,148.776,267.656
020,1577.065,107.396,10.631,136.854,254.880
021,1704.333,98.975,9.982,104.135,213.092
022,2619.134,99.957,12.573,139.843,252.374
023,3157.693,103.598,10.834,135.408,249.840
024,3136.910,94.459,10.493,138.749,243.701
025,2668.451,97.579,11.689,141.182,250.449
026,1756.676,103.803,11.105,130.222,245.130
027,1749.171,114.897,9.717,98.951,223.565
028,1681.158,99.435,9.429,134.847,243.710
029,1585.497,94.340,9.686,104.797,208.823
030,1689.676,99.136,12.014,106.092,217.242
031,1776.809,98.437,12.832,109.879,221.149
032,1598.723,94.515,11.562,109.589,215.666
033,1675.297,97.959,9.391,140.555,247.905
034,1606.424,108.102,10.414,109.651,228.167
035,1647.359,95.764,12.693,130.314,238.771
036,1719.338,97.609,15.702,123.945,237.257
037,1657.042,129.225,13.862,136.117,279.204
038,1653.144,95.188,10.166,102.069,207.422
039,1610.366,91.218,10.996,132.150,234.363
040,1728.568,92.691,11.481,139.829,244.001
041,1681.991,93.268,12.618,129.475,235.360
042,1683.439,94.430,9.920,138.875,243.225
043,1679.268,93.116,11.482,135.203,239.801
044,1728.991,103.800,10.347,99.150,213.297
045,1664.679,90.544,17.618,134.448,242.610
046,1717.964,96.157,10.429,122.065,228.651
047,2080.564,92.006,9.469,97.077,198.552
048,2840.191,96.323,9.459,156.287,262.069
049,2892.670,122.607,9.276,105.288,237.171
050,2782.922,102.061,10.582,136.132,248.775
051,2747.315,91.734,11.775,96.785,200.294
052,1546.366,90.573,10.977,99.759,201.308
053,1559.554,81.078,12.562,115.018,208.657
054,1494.543,88.600,9.770,101.867,200.236
055,1421.673,85.738,9.533,101.067,196.338
056,1440.065,85.815,10.207,101.218,197.240
057,1470.345,83.941,9.526,147.386,240.852
058,1436.042,83.763,9.556,97.920,191.239
059,1360.632,85.571,8.998,103.688,198.258
060,1329.646,82.816,8.520,98.250,189.585
061,1381.393,90.514,8.938,99.251,198.702
062,1325.728,87.564,8.967,98.940,195.471
063,1398.461,86.316,8.931,98.195,193.442
064,1433.427,79.066,9.078,136.584,224.729
065,1509.858,95.152,10.730,104.329,210.211
066,1458.972,84.836,14.270,98.493,197.600
067,1565.541,84.684,8.772,101.426,194.882
068,1381.113,80.018,9.765,143.477,233.260
069,1555.777,86.327,10.583,135.281,232.192
070,1648.702,90.339,8.653,96.449,195.442
071,1430.263,91.530,10.690,100.431,202.651
072,1361.122,91.935,9.583,134.074,235.592
073,1402.180,85.857,10.279,99.969,196.105
074,1493.302,93.126,9.933,109.068,212.126
075,1411.047,87.586,21.320,119.858,228.764
076,1479.880,90.918,14.064,155.434,260.417
077,1552.870,96.622,15.202,162.854,274.679
078,1695.510,139.136,14.187,142.053,295.377
079,1774.710,99.043,15.174,152.552,266.769
080,1338.853,105.570,10.661,357.683,473.914
081,995.374,144.950,12.351,150.209,307.510
082,1289.893,137.530,12.786,117.577,267.893
083,2632.698,106.230,10.976,161.352,278.558
084,3363.359,102.622,10.116,109.403,222.141
085,3160.163,94.216,11.127,104.207,209.550
086,3299.441,96.445,9.759,147.476,253.680
087,2595.019,117.360,15.191,140.419,272.970
088,2959.109,90.787,12.498,144.997,248.283
089,2897.916,127.365,9.735,105.511,242.611
090,2706.212,100.017,10.179,142.719,252.916
091,2432.040,100.747,9.491,149.800,260.038
092,2036.691,97.729,9.350,137.084,244.163
093,2254.491,96.329,10.028,110.243,216.600
094,2507.063,102.299,13.708,145.256,261.263
095,2663.052,90.558,9.240,119.533,219.331
096,2630.518,98.401,9.922,98.623,206.946
097,1906.518,88.330,9.662,105.281,203.273
098,2633.244,87.642,10.101,144.127,241.870
099,2187.926,85.053,13.194,141.107,239.353
100,2537.884,89.263,14.854,145.794,249.910
101,2414.970,92.907,9.035,107.623,209.566
102,2215.286,79.767,10.773,101.381,191.921
103,2469.270,86.207,9.691,100.341,196.239
104,2484.959,83.817,9.631,102.421,195.869
105,2422.822,89.814,9.220,108.151,207.185
106,2536.661,82.298,9.702,136.366,228.367
107,2355.803,84.388,8.951,134.481,227.820
108,2440.039,81.158,10.223,140.700,232.080
109,2383.568,90.135,9.776,130.171,230.082
110,2609.124,83.423,9.016,104.779,197.218
111,2506.892,88.651,10.256,101.078,199.985
112,2363.462,77.227,10.943,151.011,239.181
113,2365.067,90.282,9.147,102.338,201.767
114,2390.993,76.953,11.406,99.649,188.008
115,2406.799,78.053,9.242,105.429,192.724
116,2428.013,81.946,8.934,105.453,196.333
117,1867.038,82.383,10.980,98.648,192.011
118,2315.029,76.389,9.273,100.405,186.067
119,2201.121,74.565,9.993,95.630,180.189
120,2313.542,74.819,8.167,106.393,189.379
121,2327.499,82.926,8.525,99.986,191.436
122,2274.202,81.442,8.563,137.525,227.530
